"","Palbociclib","Tamoxifen","Fulvestrant"
"ACH-000859",4.887773,3.465323,2.800542
"ACH-000374",5.065262,3.741235,3.414803
"ACH-000111",4.133027,5.094648,3.038069
"ACH-000699",3.310621,2.214766,2.887795
"ACH-000196",5.104883,4.564308,4.004206
"ACH-000223",5.586256,4.144901,3.836296
"ACH-000755",1.976144,4.907168,3.386685
"ACH-000276",5.071428,4.609376,3.847281
"ACH-000147",3.401869,2.843773,1.267892
"ACH-000019",3.768087,2.874194,0.02481
"ACH-000148",4.010133,3.493294,2.926523
"ACH-000768",2.679255,4.243766,3.257393
"ACH-000536",3.931743,4.116528,2.439633
"ACH-000212",6.263097,6.759307,5.80821
"ACH-000258",3.542085,2.002943,2.257963
"ACH-000330",3.668313,4.281984,2.398338
"ACH-000277",4.068734,3.357808,3.039599
"ACH-000930",2.978344,3.58164,2.451011
"ACH-000668",3.64293,3.944626,1.955075
"ACH-000934",2.679477,3.195997,1.733771
"ACH-000910",2.289858,2.868764,2.790279
"ACH-000849",4.267102,2.728676,2.289418
"ACH-000554",3.537359,4.043145,3.515096
"ACH-000828",5.527953,4.738827,4.271997
"ACH-000248",3.258484,3.183546,3.076048
"ACH-000857",3.525947,4.242503,2.96667
"ACH-000856",3.016134,3.857208,2.336068
"ACH-000902",3.552195,5.552437,2.305746
"ACH-000876",3.701255,3.574896,1.987865
"ACH-000621",4.035906,4.84283,2.768638
"ACH-000927",5.748736,5.622806,3.506564
"ACH-000783",3.274864,3.069388,1.375121
"ACH-000818",8.481894,6.209599,5.111409
"ACH-000573",4.831673,4.886601,3.438953
"ACH-000117",3.900809,4.724225,3.637373
"ACH-000352",5.882975,5.168031,4.243421
"ACH-000643",4.533692,3.867856,3.685184
"ACH-000711",5.005304,3.254602,3.114741
"ACH-000349",4.919406,2.926282,2.461733
"ACH-000001",6.020365,3.816672,2.765033
"ACH-000811",5.705969,4.503507,4.60352
"ACH-000966",1.457627,2.709696,3.624509
"ACH-000617",6.114532,4.956131,3.98595
"ACH-000696",4.385478,3.096955,1.808069
"ACH-000657",0.123086,1.939225,2.28634
"ACH-000936",NA,NA,NA
"ACH-000759",4.73158,5.925496,5.768818
"ACH-000962",2.123394,3.592889,2.51196
"ACH-000719",4.210526,4.848731,4.225205
"ACH-000430",2.355136,3.177337,4.187903
"ACH-000524",5.849024,4.340667,4.402084
"ACH-000704",5.128923,4.075446,2.453761
"ACH-000568",3.88839,4.277762,3.045332
"ACH-000308",5.7487,5.623766,4.582261
"ACH-000116",6.187839,3.657323,3.193384
"ACH-000906",2.180663,4.433849,3.058331
"ACH-000574",5.793086,4.086532,4.193368
"ACH-000291",5.411334,3.906809,3.19261
"ACH-000527",6.176276,5.562658,3.404067
"ACH-000443",4.914313,6.02679,4.372787
"ACH-000885",2.546741,3.892466,3.016472
"ACH-000663",2.657555,4.958022,4.043064
"ACH-000048",1.841947,3.881162,2.532039
"ACH-000091",5.156502,4.590906,3.829513
"ACH-000947",NA,NA,NA
"ACH-000725",4.867165,NA,NA
