"","EIF4EBP1","EIF4EBP1","EIF4EBP1","EIF4EBP1","TP53BP1","ARAF","CTNNB1","AR","ATM","BAD","BAK1","BAX","BCL2","BCL2L1","CTNNB1","CTNNB1","BID","BCL2L11","BCL2L11","BRCA2","JUN","RAF1","RAF1","RAF1","CASP7","CAV1","CDK1","CHEK1","CHEK1","CHEK2","CHEK2","BIRC2","CLDN7","COL6A1","CCNB1","CCNE1","CCNE2","CDH1","EGFR","EGFR","EGFR","ESR1","ESR1","MAPK1","FN1","FOXM1","GAPDH","GATA3","GSK3B","ERBB2","ERBB2","ERBB3","ERBB3","INPP4B","MAPK8","XRCC5","MAP2K1","MAP2K1","MTOR","MTOR","MYH11","CDH2","CDKN1B","CDKN1B","CDKN1B","MAPK14","MAPK14","MAPK14","TP53","RPS6KB1","RPS6KB1","RPS6KA1","RPS6KA1","RPS6KA1","SERPINE1","PCNA","PGR","AKT1S1","PTEN","RAD50","RAD51","RB1","RB1","RBM15","RPS6","RPS6","SHC1","SRC","SRC","SRC","TSC2","TSC2","XRCC1","YBX1","YBX1"
"ACH-000001",-0.342667,0.084423,-0.039212,-0.002802,1.007942,-0.262575,1.140023,0.770386,-1.285356,0.119498,-0.040217,-0.603161,-0.406241,1.154343,2.111805,0.207177,0.201205,1.280274,0.983741,-0.050538,0.017721,-1.195275,-0.819426,-0.19821,1.148837,-1.010662,0.242755,-0.078928,0.409167,0.468146,0.54936,-0.392719,3.046671,0.062288,0.079736,1.390362,-0.074208,2.279802,0.337363,1.240233,-0.039772,-0.194134,-0.034981,0.076254,0.607847,-0.243136,0.614626,0.024165,0.21575,1.087973,1.012394,0.708598,-0.039608,-1.15609,-0.35707,-0.124821,-1.033429,0.144098,-0.106667,0.147138,0.408374,0.142045,0.108279,0.074624,-0.07427,-0.222401,-0.33529,-0.323533,2.117614,-0.05255,0.825581,-0.703529,-0.192248,-0.278635,-1.372511,-0.157848,-0.333362,0.095844,0.224612,0.687275,-0.344838,-0.241758,-0.752629,-0.130018,-0.717386,-0.043379,0.869483,-0.313524,0.109885,0.109416,0.144906,0.137969,-0.188814,0.343409,-0.186005
"ACH-000013",-1.261144,0.030128,-0.488805,-0.575823,0.98064,0.197136,0.974015,0.153656,-0.310768,-0.685939,-0.339816,-0.478058,0.036382,0.145162,1.013821,0.211447,0.09002,1.500892,1.432,-0.067191,0.87072,-0.778056,-0.660727,0.344065,0.291357,-1.047137,-0.416765,-0.191493,0.317537,0.004619,0.580988,-0.190218,2.844888,0.367427,0.255639,1.688,-0.100459,1.779586,0.589545,0.91917,0.089896,0.179419,0.039901,-1.297393,1.258863,0.62738,-1.169584,-0.170135,0.414577,-0.0444,0.407676,0.699595,0.229497,0.005612,-0.27203,-0.102185,-1.679537,-0.195688,-0.174705,0.195004,0.528069,0.031606,-0.077412,0.258624,0.625759,-0.477041,-1.305173,-1.296507,2.162743,-0.591779,0.335169,-0.86327,0.307447,-0.066484,-0.671681,-0.683256,0.143951,-0.090448,-0.765177,-0.152254,0.129418,-0.025227,-0.657791,0.631152,-1.449501,-1.30145,0.21345,0.522532,0.010461,0.200791,-0.157981,0.068621,0.463793,-0.297309,0.001165
"ACH-000017",-0.567217,-0.186053,0.201317,-0.241644,-0.517487,0.242458,-0.33801,-0.205871,-0.441775,-0.121293,0.021985,-0.255932,-0.169126,0.380228,-3.289585,-0.090322,-0.06557,-0.529833,-0.26942,0.28828,-0.054728,-0.22239,-0.412906,0.00779,0.606872,-2.447415,-0.271286,-0.262535,0.019647,0.391772,0.05776,-0.061536,1.801384,-0.442537,-0.626946,0.881898,0.016882,-1.310288,0.346643,2.635022,0.052353,0.004014,0.02932,0.396358,0.631367,-0.050035,1.713715,0.821341,-0.187539,4.503562,3.835022,0.930605,0.721983,0.022183,0.559993,-0.592077,-0.611258,-0.205075,0.129345,0.497209,-0.249109,-0.089501,-0.101664,0.12657,-0.348065,-0.093508,-0.190787,0.230793,0.445315,-0.542753,0.627134,0.200468,0.172473,0.69031,1.471011,-0.099571,-0.007745,0.706898,0.068882,-0.656638,0.077646,-0.112983,-0.338867,-0.573615,1.769484,2.092122,0.562785,0.302702,-0.004279,0.252625,-0.425887,0.649567,-0.114412,-0.082644,-0.032807
"ACH-000019",-0.048572,-0.533673,-0.523235,-0.271543,0.017732,0.288316,0.04685,1.516778,-0.886447,0.079211,-0.00611,0.221846,1.586752,-0.158139,-0.295371,0.143369,0.086001,1.735654,1.455827,0.205176,-0.162127,-0.531532,0.319032,-0.083991,0.191296,-2.276951,0.245894,-0.840504,-0.097702,-0.097563,-0.141184,-0.103681,3.14698,-0.375863,-1.000956,0.210681,0.208757,3.720337,-1.015906,-0.41787,-0.073197,3.277838,0.426867,-0.562324,-0.880011,-0.356746,0.674906,4.848493,0.564119,0.359732,-0.154712,0.762347,0.230561,0.700192,-0.158484,-0.0942,0.086646,-0.548284,0.100955,-0.07492,-0.188814,-0.37452,0.548527,0.281566,0.185071,0.069664,0.16907,-0.465572,0.000895,2.885258,0.450812,0.220749,-0.121897,-0.494824,-0.430034,0.068361,0.173521,-0.255489,0.998188,-0.248594,-0.333504,-0.397333,-1.310171,0.126938,1.11539,1.05785,-0.158489,-0.392293,-0.494138,-0.382213,0.320028,0.298299,0.180278,-0.073149,-0.526106
"ACH-000028",-0.038319,-0.168084,-0.515986,-0.022373,0.319567,0.292042,0.39241,2.45212,-0.933479,-0.262722,-0.134124,-0.014046,0.077509,-0.495766,0.156566,0.075935,0.009468,0.246039,0.292203,-0.133844,-0.13056,0.681482,0.623826,-0.053031,-0.561201,-2.237274,-0.076175,-0.191184,0.015742,-0.510959,-0.106436,-0.060483,3.273937,-0.306249,0.409644,0.376589,0.257575,2.784828,-1.242352,-0.210863,0.064413,4.162259,0.604354,-0.6534,-0.841867,0.155054,0.547675,2.00046,0.428208,0.18208,0.191211,2.36763,-0.073392,1.148835,-0.225388,0.282088,-0.077032,-0.328037,0.277661,-0.026097,-1.006046,-0.628531,1.08574,-0.022874,0.085901,-0.111937,0.164531,-0.87097,-0.139795,3.331277,0.104271,0.16266,-0.109069,-0.418052,-0.825666,-0.071511,0.569121,-0.345065,0.649381,-0.293554,0.304278,0.052274,0.462954,0.242645,0.782022,0.819332,-0.081478,-0.467534,-0.376921,-0.787527,0.362035,-0.165935,0.339339,-0.253651,0.027459
"ACH-000044",1.322523,1.62989,1.464476,1.011731,1.439454,0.004232,-0.728951,2.269904,0.246691,0.023346,0.178315,0.033735,2.209705,0.566265,-2.879243,-0.269733,0.095994,1.410345,1.163743,0.807005,-0.19877,-0.352671,-0.318034,-0.029837,-0.16684,-3.168449,-0.091936,-0.524108,0.257048,0.390191,-0.130133,-0.379407,2.367731,-0.195802,-0.350447,-0.340179,0.839753,-0.793524,-0.980296,-0.348578,0.094862,5.693359,2.936078,-0.014881,-0.085074,0.325254,0.638764,4.195937,0.275913,0.153159,-0.041774,1.600575,0.208877,0.080832,0.893752,0.432565,-0.032123,-0.405499,0.407521,0.255119,-0.04633,0.002004,0.64767,0.15475,-0.069805,-0.176306,-0.322275,0.088245,-0.233193,-0.490319,0.312901,-0.232126,0.023072,-0.229238,-0.573022,-0.240254,0.027254,-0.205499,0.758505,-0.164168,-0.141444,-0.079228,0.084002,0.024984,0.132171,0.868916,-0.321419,-0.192127,-0.509362,-0.48742,0.293914,0.47459,0.603076,-0.005496,-0.343286
"ACH-000048",0.194609,1.181729,0.853125,-0.188776,0.846294,-0.255757,-0.15196,0.649503,0.240627,0.107465,0.036325,-0.001339,-0.712726,0.013165,0.705497,0.6384,-0.239543,-1.05625,-0.622568,-0.158975,-0.28077,0.759642,0.006325,-0.099713,0.305738,-1.933977,0.425887,0.135849,-0.085158,0.724156,0.14478,0.03132,-0.883989,-0.100099,0.699627,0.12004,-0.040421,-0.926757,-0.72382,-0.293585,-0.188955,-0.597042,0.03035,0.354849,-0.786875,0.70626,0.218599,0.264809,-0.023794,1.245145,0.505461,-0.509118,0.167957,-0.6932,-0.271514,0.461165,-0.548505,0.738443,0.110397,0.085181,0.819956,-0.00313,-0.366909,0.364944,-0.399774,-0.065735,0.157408,0.27196,2.017737,1.850519,1.976322,-0.401455,0.363552,0.268612,-1.612661,0.257056,-0.816892,0.269449,-0.036369,0.159369,0.109722,-0.026915,1.235633,0.812324,0.953303,1.735266,-0.275296,-0.923416,-0.157182,-0.158887,0.117362,-0.131449,-0.472983,0.199156,0.373346
"ACH-000091",0.159021,0.440453,0.045437,0.126791,0.672365,0.074779,-0.209213,-0.104742,0.054173,0.122511,0.252393,-0.473359,0.107092,-0.099581,-0.627228,-0.075379,-0.087689,0.461968,0.28378,0.025706,0.077785,-0.000768,-0.067596,0.134224,-0.113546,1.415402,-0.280013,0.178818,0.293792,0.080242,0.292177,0.276746,0.301447,0.107094,0.489447,-0.53333,-0.139252,-1.475105,1.22686,0.192323,-0.004711,-0.212167,-0.232112,-0.459057,3.234279,0.090968,0.248913,-0.228244,-0.103944,-0.627036,-0.194655,-0.164576,-0.092853,-0.029504,0.396965,0.063467,0.057017,-0.150363,-0.275348,-0.205148,0.151414,0.27339,-0.142021,-0.174088,0.282841,-0.29941,-0.415782,0.30975,-0.439542,-0.193923,-0.01351,0.267898,0.042543,0.381327,4.085796,-0.22791,-0.039287,0.163987,-0.315394,-0.196863,0.499752,0.442903,0.462573,-0.12568,0.077704,-0.636731,-0.031893,-0.374876,0.388029,-0.848955,-0.606828,0.236515,-0.215191,0.337839,0.214364
"ACH-000097",0.56067,0.110576,0.709728,0.154407,0.066832,0.583501,0.31864,2.457318,-0.436387,-0.177688,-0.024517,-0.318547,1.369441,-0.318108,0.240529,0.234993,-0.1061,0.927678,0.5641,0.153046,-0.427049,0.069012,0.111173,-0.098934,-0.036484,-3.028042,-0.084273,-0.783638,-0.225902,0.230453,-0.118518,0.033371,3.300933,-0.091949,-0.839565,-0.046064,0.002071,3.926655,-1.194442,-0.321155,-0.170491,3.868138,0.711574,0.149115,-1.110566,-0.248447,1.617614,3.664128,0.098829,1.246305,0.419732,0.72568,-0.206603,0.548952,0.046379,-0.381094,-0.17921,-0.171902,0.377023,0.206494,-0.593239,-0.436111,0.661249,0.374526,-0.162286,0.063903,0.08406,0.013827,-0.299308,0.346245,0.16704,0.158531,-0.012545,0.299496,-0.457147,-0.197019,0.394416,-0.221465,-1.163806,-0.478117,-0.044458,-0.319539,-0.730438,-0.066449,-0.689886,-0.549643,0.534935,0.073443,-0.51963,0.489294,0.148687,0.135892,0.361482,-0.182761,-0.312168
"ACH-000111",-0.977344,-0.226029,-0.560712,-0.471139,-0.117787,0.440627,-1.112808,1.297341,-1.515672,-0.013958,-0.041468,-0.124368,0.222965,-0.150688,0.772513,0.217296,-0.147092,0.212302,0.123242,-0.222136,0.180144,0.480444,0.358608,0.0871,0.926723,-1.230748,-0.853694,0.236562,0.158327,0.38892,0.036264,-0.010118,1.070463,0.062586,0.543296,0.866571,0.593875,3.400576,0.38693,0.594149,-0.04871,0.022583,0.005233,-0.139789,-0.721475,0.452435,-0.606871,1.564773,0.011179,1.180134,0.729462,0.263366,0.253351,-0.053091,0.74863,-0.142486,-0.691835,-0.53795,-0.185983,0.038905,-0.02805,0.036547,0.07325,-0.223974,-0.205744,0.325418,0.882247,1.15756,1.168912,-0.197896,0.449182,0.016908,0.131483,0.151292,-0.387551,0.345605,-0.025016,0.13509,0.408659,-0.06722,-0.065713,-0.43269,-1.127353,0.059406,-0.01121,0.101888,0.390407,-0.244921,-0.435087,0.343018,-0.317751,0.085702,-0.575719,-0.10616,0.247925
