"","BAD","BID","MRE11","BAK1","CDH1","RAD51","ERBB3","YBX1","TP53BP1","XRCC1","ARAF","XRCC5","PGR","GSK3B","BAX","ESR1","MAPK1","MAPK3","TSC2","RAB11A","CCNE1","AKT2","GSK3A","CAV1","SERPINE1","GATA3","MAPK8","RPS6KB1","INPP4B","BIRC2","FOXM1","CDKN1B","GAPDH","MAPK14","RAD50","FN1","AKT3","RPS6KA1","RAF1","PCNA","MYH11","CCNB1","RPS6","BRCA2","RB1","TP53","ERBB2","COL6A1","AKT1","EGFR","ATM","CHEK1","BCL2L11","SHC1","RBM15","CASP7","CTNNB1","MAP2K1","AR","CDK1","CDH2","BCL2L1","BCL2","PTEN","CCNE2","JUN","CLDN7","CHEK2","RAB11B","EIF4EBP1","SRC","MTOR","AKT1S1"
"ACH-000001",6.09127669436522,7.02292258905563,3.28392177230762,4.88313201565728,6.24164954001753,4.71753934339116,5.19574129324645,9.28683495420024,5.21062264439691,4.65592421308382,4.62819033461521,7.48123434952853,0.124328135002202,5.40531168259745,5.13504228623365,0.545968369105293,5.22804904788446,4.74846123300404,5.81813476081085,7.98042523154384,6.69919069152582,8.65710403934,4.83390207666916,4.28688114778816,0.7311832415722,0.0976107966264223,5.11519974938544,4.54720302475693,1.63226821549951,3.91073266190291,5.72410451986685,5.82476785314329,11.8116556585055,4.605257262939,4.34340782229781,5.61882595258744,2.4276061727819,4.18507363787676,5.80709727493827,6.73077579651205,0.20163386116965,7.8286442742617,10.8062273760519,2.5033487351675,3.52857131887076,5.80064109732908,4.99276843076892,4.08746284125034,6.50239425611126,4.32264926213102,3.61235249875266,4.6409679104499,3.36597242759338,5.68706068833989,3.01792190799726,4.73552217729654,7.83522933218339,5.09000652990382,2.87381319835909,7.04526821513853,1.87970576628229,7.1177989196213,0.831877241191673,5.36422222109353,3.59215800212536,5.72109918870719,7.20143782950403,4.92314918047231,5.24830712008724,6.79662370903649,4.96855160336395,5.75808993420181,4.54163873443614
"ACH-000013",6.23935985027747,6.20886837067295,3.1586601753465,4.31324585178756,5.60792206726114,4.73552217729654,5.05831649559082,9.75800662762069,4.49313492230551,4.75007048586569,4.21101219348551,7.43870869772992,0,5.29535569289167,6.08023127201926,0.0840642647884745,4.9518675043269,4.96532254836725,5.82832692641482,7.59454854955035,6.41920177384876,6.95733424742805,5.20672135743089,4.78188423454149,0.722466024471091,0.0143552929770701,4.96901230751632,4.15218341905505,1.21412480535285,3.61588707391606,5.88166461932035,5.05267672430358,12.4201181285122,3.88166461932035,3.83794324189103,5.17831627170145,3.87872534148011,3.95326523901484,5.74523733212975,6.73416766115076,0.263034405833794,7.79954066808021,11.067568808829,2.20163386116965,3.06177619758669,6.26096656451949,4.83390207666916,5.00539998774259,6.52481592835751,5.64789009105921,3.36176835941915,4.32624970083746,3.71149490665009,5.32696871158789,2.96162332828694,3.68369645430652,7.77221558630345,4.86443379636562,0,7.09771612974375,4.18189764310839,6.83857365266832,0.978195629681652,4.67129337248158,2.39231742277876,6.13668357769724,6.97119864538455,4.92599941855622,5.55612281784117,6.5933537709803,4.80580834870147,5.29498826769145,4.83592407425437
"ACH-000017",6.21567859660793,5.33306587807636,3.86987140617771,5.58044701959866,0.286881147788162,5.06781078378962,6.12990118236507,9.63796519641551,3.92314918047231,4.74092756031863,4.62935662007961,6.28854313265907,0,4.00539998774259,6.35297033824593,0.321928094887362,5.16711703022744,5.93144668529867,5.75942218569633,7.62314990022045,4.74469931420784,6.11644793551166,5.7045953476324,2.42223300068305,3.86690797814317,3.41953889151378,3.94485844580754,3.10433665981474,2.10433665981474,4.2585189247113,5.78109738148632,4.51727569320958,12.6124308318407,4.06091204958787,3.16832111573972,6.26453643099903,0.070389327891398,4.74631276642546,5.43429461795993,8.39694722007283,0.454175893185802,6.66106547980695,10.7983097824546,1.89530262133331,3.9297909977186,4.96208624985064,10.8447057644119,0.941106310946431,7.00641023912548,4.38887833881199,3.39369076418745,4.6046644151637,2.89141918684608,6.03738222200308,3.15704371014558,4.37920505996061,6.32337006906127,4.54349588342577,0.286881147788162,6.68243284122705,0.27500704749987,6.19160212846187,0.189033824390017,3.30012372456901,2.51601514700366,4.36667191611176,7.59998720599431,4.67129337248158,5.30597052098439,6.00674683244058,4.603477988254,4.37364821133469,6.09550251765867
"ACH-000019",5.92195991732617,4.94392132655349,2.877744249949,4.74738739965272,8.27974985301445,3.96716860753263,5.79363582035063,9.07189135305663,4.08321336824898,5.60644222813161,5.25701061820602,7.14669594803066,2.43562859405209,4.65535182861255,6.92647391125607,5.40769264866568,4.44228003525258,6.81966818349646,5.61941301059794,8.48996834721385,2.60169651648096,6.0203688510632,5.3077927961299,1.22650852980868,0.739848102699327,8.4948555844912,4.46466826700344,8.3095218281454,4.39369076418745,3.4931349223055,5.03782146543497,5.6313953536956,11.7042927372399,4.81198471935167,4.28835856219366,4.32409051603798,0.070389327891398,3.97085365434048,6.19515071056471,7.35737605546964,0.400537929583729,7.51609396341718,10.0004226026611,2.99457972421575,3.35755200461808,6.63734941083314,5.49409554494063,1.38404980679516,7.5190071478334,0.263034405833794,3.17632277264046,4.10349763970334,4.84247606299394,5.5933537709803,2.57531233068744,4.41074812818595,6.81403764753998,5.34020617991171,2.83995958748953,5.98322165074267,0.0840642647884745,5.50493813164961,4.47702965301306,4.49825086752783,4.34198574722862,4.75381844317354,7.93769748904146,5.36001304220433,5.05788344889963,6.17372709890289,2.59454854955035,4.59872249967662,5.61765111942733
"ACH-000028",5.9469647411558,6.16490692667569,3.16188768237689,4.5453506448223,8.00876474486344,4.32768736417605,6.99050111136325,9.15529892726715,4.42693561964834,5.46499492726543,5.50811168119346,7.49785183695112,0.214124805352847,4.54473265593262,7.40913632042844,4.59872249967662,4.32912359629157,6.72273923629671,5.89190518821193,8.05934446082443,3.86294724802092,6.05831649559082,5.09212284983868,2.79493566280354,0.704871964456353,8.66298874106415,4.47702965301306,8.68832025628797,5.39506279951758,3.27202318906105,5.26002565596146,5.61588707391606,11.7581399158416,4.31469652565629,3.92599941855622,4.0866139474095,0.20163386116965,4.86542397831313,6.37781785308364,7.2037884533086,0.505890929729957,7.58676474335514,10.6967067746522,3.37989816352469,3.62527048937469,6.96451415408665,5.62935662007961,1.76128527336162,8.64529816394863,1.15055967657538,2.9126498648972,4.44890095114513,4.23725777090037,6.27984269352035,3.07724299893246,4.28835856219366,7.01658546043445,4.90929308582382,3.36036427654347,5.99457972421575,0.22650852980868,5.51032901949057,1.33342373372519,5.00584907569669,3.84498815668261,5.51569983828404,7.93398565445043,5.29057185085208,5.22265002245148,5.93073733756289,2.75488750216347,4.80374366850523,5.57440430902258
"ACH-000044",5.78476569631639,4.65764000520782,3.39643353125099,4.17951105027151,4.15137177625395,3.85996954822103,7.78175312216434,9.3884909283468,5.00135189299996,5.34837407519116,4.5341861390901,6.74631276642546,1.80322703643493,4.21955576916691,6.09508049190141,6.58796498888268,4.69655030107857,5.53044535469291,7.32210842049736,8.19115794135308,2.3533232911629,6.13524754980957,5.18507363787676,0.31034012061215,0.443606651475615,6.97165850515125,5.52450253744916,4.21878116778407,1.61353165291793,4.14404636961671,5.52825874275841,7.12267271882414,11.5587555174304,4.67129337248158,4.74362267606765,4.78555055173926,0.0976107966264223,3.03210084316702,5.64731450954714,7.42004442035417,0.879705766282288,7.03760186043555,11.1264463647754,2.0036022366802,3.27649666564036,3.56437816856506,4.52919626799939,0.903038270112912,7.62592796997285,0.150559676575381,4.44559429134118,4.04701481951759,3.69488019279919,4.61588707391606,3.06004738366994,3.94673086014031,5.61323695471633,4.13010717865883,2.94860084749336,7.03826057517535,3.33771109212829,5.89893387178018,4.32337006906127,4.86888427302877,4.37712374912949,4.41210404467757,6.09339115325301,4.5478199565777,5.99774402605963,7.97050858077913,4.21023299009585,4.47961860846942,4.93451650158608
"ACH-000048",4.35614381022528,5.61058195849253,4.03738222200308,4.28392177230762,0.263034405833794,4.13504228623365,1.87184364850932,9.81164763169351,5.2137360959228,4.89433274227769,5.46630082917934,7.90917305628501,0,4.09254574154357,7.64975914663296,0.250961573533219,5.37712374912949,4.52293456094346,5.00943675560809,7.53231695933277,4.02147972741045,5.73525137578642,5.32732808262995,2.09085343045111,0.659924558402378,1.37851162325373,4.83592407425437,5.61941301059794,1.04264433740849,4.13914201914569,6.39025495632187,4.92552476974757,11.6088554347844,4.72683121703249,4.16751850373522,5.07382023329167,4.05398016818765,3.68818035858693,6.07253459972295,8.18982455888002,0.250961573533219,7.55596949459953,11.2299603722138,3.0686708106651,3.89336221076387,6.85897561429202,5.52669484554198,3.68257329734758,6.9442728176116,1.27500704749987,5.03782146543497,4.99638874644762,2.3533232911629,7.08947696448992,3.22958792274065,4.19770815795585,7.23639694577668,4.53977919169849,1.85598969730848,6.88300978961909,3.83592407425437,4.83592407425437,0.55581615506164,4.4995270242151,2.8499992594661,2.46727948045998,0.389566811762726,5.35931031689044,6.7220561096961,7.10988287758846,3.77925972037238,5.1197711619529,5.45220004940622
"ACH-000091",5.12639473762014,4.8414699994658,3.1243281350022,4.07296327155522,0.66902676550963,3.3743439890385,1.22650852980868,9.63241364113755,5.07681559705083,5.12474169241965,4.40394936423287,6.71314590249026,0,5.68341574703043,6.9205315062779,0.0565835283663675,4.6876206320849,5.16551001804135,5.08618931310448,8.28757387417716,2.81557542886257,5.56833618213375,4.65420637794429,6.11727946005392,10.0527038913994,0.505890929729957,4.81762325751143,3.93262815702213,2.85399564717639,5.77636722957392,3.84599177066457,5.26040209302579,11.6453882394983,4.70431867776083,3.22650852980868,12.750832578121,1.85199883711245,4.12018602753186,5.67440415393769,5.99909803370561,0.422233000683048,6.61882595258744,10.928962440836,1.76553474636298,4.57773093149008,2.85598969730848,3.79285535236249,6.91288933622996,5.44526320814044,5.24222139509837,5.62175885670973,5.00405188450708,2.98367769469807,6.92041240816079,4.4235781709818,4.71699089440494,6.98857108426485,5.97956810009519,0.176322772640463,5.6055535954944,4.26453643099903,7.18428029441938,0.55581615506164,6.01234519041983,1.85199883711245,7.74409380412046,5.6564963705535,4.4867143730307,5.56163163037584,6.78122855346812,3.8923910259134,5.14445431392619,5.27537959625362
"ACH-000097",5.71094415457587,7.26106062163337,3.64038956005495,3.73768676140986,7.64537022483828,4.20006486151431,6.56407325573694,8.68783055497226,4.40803246613065,4.86641348112345,5.35684807923652,6.70251902915328,4.5795422249369,4.24868662687383,6.12184429787638,4.89869207256049,6.29902480738432,6.11124002053246,6.54889895286564,8.84033733875703,4.5909612413426,6.11040500673928,5.26753579806874,2.05311133645956,2.36457243229586,5.53791724903408,4.34766565630097,5.32337006906127,3.37712374912949,4.85648777949568,6.46564802598228,5.65477921695952,12.4090726594792,4.72955277045397,4.47638168756724,5.06824086131282,3.35049724708413,4.48864353985378,6.13729858092114,7.077029313819,1.6915341649192,7.07681559705083,11.1503819688178,3.70708299177171,4.27052894238072,4.17871464117544,6.75662303520315,2.114367024952,8.17562439668642,1.97819562968165,4.80426011563474,4.58496250072116,4.11270013274936,5.63575439127776,3.8499992594661,5.66618848987278,6.56559717585422,4.94766615679601,4.29425313644451,7.60429376155303,0.704871964456353,5.9546616208379,4.06608919045777,6.02702131462225,4.83390207666916,5.86616616903904,6.56331069160856,5.54997714277182,4.65477921695952,7.59260653159917,4.46858331700683,3.95046841415012,5.22110372536788
"ACH-000111",5.81378119121704,6.32606989214514,5.17392693199981,5.07167687375186,5.67779010121666,3.88459792099006,4.98185265328974,10.778159285228,4.55151601762801,4.20554891117303,4.53605290024021,6.96405201104085,0.124328135002202,4.68818035858693,7.52285611736673,1.1243281350022,5.67016051412663,5.12350066435096,5.14934066928622,7.33440737931137,5.6667565918848,6.32427057158154,5.95046841415012,4.04176864995163,1.13750352374994,5.59604063267114,5.59604063267114,4.07210580048042,0.344828496997441,6.16852169899217,7.17302746500604,7.13165121402532,11.6668009654347,6.04286317624712,3.6564963705535,3.49185309632967,0.111031312388744,4.92884403671257,6.27519333390221,8.72236355669585,0.879705766282288,7.70922169796007,10.9852727142534,3.13422093976063,2.21101219348551,7.18269229751619,6.75955534320631,0.66902676550963,7.63807383718072,5.15137177625395,2.98550043030489,6.00450139223494,3.05484847699562,5.98322165074267,3.4995270242151,4.46923479366766,7.88764711483953,4.04001567884788,2.7311832415722,6.69027740102343,4.74631276642546,4.68425770505893,1.72246602447109,5.06824086131282,4.79960542245267,4.674686619928,5.27537959625362,4.37295209791183,7.07403439421256,4.73498052343589,4.50080205305716,5.64125699872677,5.41176518500698
